FullName NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1 2:08.40 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2 AaronPrince NA NA NA NA NA NA NA NA NA NA NA 1386.49252460053 NA NA 1379.86674301643 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
3 AdrianGriffiths 878.41076535091 878.41076535091 878.41076535091 878.41076535091 878.41076535091 1063.51196516033 1063.51196516033 1063.51196516033 1063.51196516033 1063.51196516033 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
4 AdrianMourie NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1168.66807303246 NA NA NA NA NA
5 AlanDobson 923.844696213222 923.844696213222 923.844696213222 923.844696213222 923.844696213222 1108.94589602264 1108.94589602264 1108.94589602264 1108.94589602264 1108.94589602264 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
6 AlanHorn NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 859.560091087182 NA NA NA NA NA
7 AlanMoore 931.83770256863 931.83770256863 931.83770256863 931.83770256863 931.83770256863 1116.93890237806 1116.93890237806 1116.93890237806 1116.93890237806 1116.93890237806 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8 AlastairGeorge NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1255.10953290186 1267.30194396261 NA NA NA
9 AlCory-Wright NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1235.88745748286 NA 1243.14426588448 NA NA NA NA NA NA NA NA NA
10 AleishaNeary 920.68956212556 920.68956212556 920.68956212556 920.68956212556 920.68956212556 1105.79076193498 1105.79076193498 1105.79076193498 1105.79076193498 1105.79076193498 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
11 AlexanderBattaglia NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1009.82468596967 1142.99123435912 1116.01567086575
12 AlexandraRiddle 876.097000353292 876.097000353292 876.097000353292 876.097000353292 876.097000353292 1061.19820016272 1061.19820016272 1061.19820016272 1061.19820016272 1061.19820016272 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1055.01969947037
13 AlexBridger 689.94408918131 689.94408918131 689.94408918131 689.94408918131 689.94408918131 875.045288990737 875.045288990737 875.045288990737 875.045288990737 875.045288990737 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
14 AlexdeBeer 974.326841615794 974.326841615794 974.326841615794 974.326841615794 974.326841615794 1159.42804142521 1159.42804142521 1159.42804142521 1159.42804142521 1159.42804142521 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
15 AlexMiller 749.681294574352 749.681294574352 749.681294574352 749.681294574352 749.681294574352 934.78249438378 934.78249438378 934.78249438378 934.78249438378 934.78249438378 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
