Name,Minutes,Rank,Current
NickHann,55.4166666667,7236,1447.2
AaronPrince,70.9666666667,,
CallumCleary,73.8666666667,6678,1335.6
TimWright,75.8833333333,6472,1294.4
TimFarrant,76.5333333333,6851,1370.2
BillEdwards,76.7333333333,6518,1303.6
CarstenJoergensen,77.95,7084,1416.8
StephenHarding,78.8666666667,6728,1345.6
GreigHamilton,83.35,6670,1334
SaraPrince,85.7166666667,,
BorisDeBouck,90.3666666667,6189,1237.8
BruceSteven,90.75,6172,1234.4
JenniAdams,91.2833333333,6273,1254.6
SarahWright,97.4333333333,6018,1203.6
FelixHarrison,98.4,6416,1283.2
MattBixley,119.8666666667,6316,1263.2
BrianWilson,194.7666666667,,
