Name,Minutes,Rank,Current
NickHann,44.65,7236,1447.2
AlistairRichardson,46.85,6995,1399
ChrisForne,47.7,7152,1430.4
StephenHarding,65.6166666667,6728,1345.6
AaronPrince,54.95,,
TomSpencer,58.65,,
CallumHill,60.9666666667,6568,1313.6
MattBixley,61.1166666667,6316,1263.2
TomHarding,63.8166666667,6348,1269.6
CallumCleary,64.8,6678,1335.6
CarstenJoergensen,65.2333333333,7084,1416.8
DominicCleary,69.1833333333,6188,1237.6
SaraPrince,69.2166666667,,
CraigPelvin,71.9166666667,6125,1225
TimDennis,73.95,,
AlisterMetherell,74.35,6984,1396.8
SelenaMetherell,74.9166666667,6032,1206.4
BruceSteven,75.0666666667,6172,1234.4
DaveArmstrong,76.3166666667,5845,1169
BenLudgate,78.2666666667,,
MikeHarding,83.0166666667,6048,1209.6
DiLiddell,85.7333333333,,
LaraScott,88.4333333333,6405,1281
JonathanWood,88.4333333333,5382,1076.4
SimonCullen,88.85,,
JeniPelvin,98.8,5385,1077
