Name,Minutes,Rank,Current
TomHarding,23.73,6348,1269.6
BrendonClark,24.05,,
DavidSeward,25.17,,
AntoniaWood,25.68,5600,1120
DaveArmstrong,25.81,5845,1169
CioranKnowles,25.89,5568,1113.6
DominicCleary,26.02,6188,1237.6
AnnBixley,27.89,4818,963.6
DiLiddell,28.16,,
JenniAdams,28.56,6273,1254.6
OllieBixley,28.93,,
MikeHarding,29.86,6048,1209.6
PeterCleary,30.25,6106,1221.2
AlisterMetherell,30.76,5984,1196.8
MaureenKernick,30.88,4985,997
RobertMcCormick,33.65,,
JeniPelvin,34.35,5385,1077
MeganHall,40.92,,
GenevieveWebb,41.22,5238,1047.6
VivPrince,41.79,5253,1050.6
AndreaKnowles,41.92,,
KateCotter,47.92,,
GuyFrederick,49.21,,
TimJowett,49.43,,
KatharineWebb,62.74,3851,770.2
